path,line,column,severity,rule,classification,message
alpha/apps/kaltura/lib/dateUtils.class.php,100,24,ERROR,PHPCompatibility.Operators.RemovedTernaryAssociativity.Removed,unverified static candidate,The left-associativity of the ternary operator has been deprecated in PHP 7.4 and removed in PHP 8.0. Multiple consecutive ternaries detected. Use parenthesis to clarify the order in which the operations should be executed
alpha/apps/kaltura/lib/defPartnerservices2Action.class.php,66,9,ERROR,PHPCompatibility.FunctionNameRestrictions.RemovedPHP4StyleConstructors.Removed,unverified static candidate,Declaration of a PHP4 style class constructor is deprecated since PHP 7.0 and removed since PHP 8.0
alpha/apps/kaltura/lib/defPartnerservices2Action.class.php,918,12,ERROR,PHPCompatibility.FunctionUse.ArgumentFunctionsReportCurrentValue.Changed,unverified static candidate,"Since PHP 7.0, functions inspecting arguments, like func_get_args(), no longer report the original value as passed to a parameter, but will instead provide the current value. The parameter ""$error_code"" was changed on line 914."
alpha/apps/kaltura/lib/extservices/myKalturaPartnerServices.class.php,18,20,WARNING,PHPCompatibility.ParameterValues.RemovedGetClassNoArgs.ArgMissing,unverified static candidate,Calling get_class() without the $object argument is deprecated since PHP 8.3.
alpha/apps/kaltura/lib/extservices/myKalturaServices.class.php,28,21,WARNING,PHPCompatibility.ParameterValues.RemovedGetClassNoArgs.ArgMissing,unverified static candidate,Calling get_class() without the $object argument is deprecated since PHP 8.3.
alpha/apps/kaltura/lib/extservices/myMediaCommonsServices.class.php,211,14,ERROR,PHPCompatibility.Variables.ForbiddenThisUseContexts.OutsideObjectContext,unverified static candidate,"""$this"" can no longer be used in a plain function or method since PHP 7.1."
alpha/apps/kaltura/lib/extservices/myPhotobucketServices.class.php,67,15,WARNING,PHPCompatibility.FunctionUse.RemovedFunctions.utf8_encodeDeprecated,unverified static candidate,"Function utf8_encode() is deprecated since PHP 8.2; Use mb_convert_encoding(), UConverter::transcode() or iconv instead"
alpha/apps/kaltura/lib/extservices/myPhotobucketServices.class.php,232,39,WARNING,PHPCompatibility.FunctionUse.RemovedFunctions.utf8_encodeDeprecated,unverified static candidate,"Function utf8_encode() is deprecated since PHP 8.2; Use mb_convert_encoding(), UConverter::transcode() or iconv instead"
alpha/apps/kaltura/lib/kDeliveryUtils.php,71,48,WARNING,PHPCompatibility.FunctionDeclarations.RemovedOptionalBeforeRequiredParam.Deprecated80,unverified static candidate,"Declaring an optional parameter before a required parameter is deprecated since PHP 8.0. Parameter $pattern is optional, while parameter $params is required. The $pattern parameter is implicitly treated as a required parameter."
alpha/apps/kaltura/lib/kManifestRenderers.php,675,11,ERROR,PHPCompatibility.ParameterValues.NewHTMLEntitiesFlagsDefault.NotSet,unverified static candidate,"The default value of the $flags parameter for htmlspecialchars() was changed from ENT_COMPAT to ENT_QUOTES | ENT_SUBSTITUTE | ENT_HTML401 in PHP 8.1. For cross-version compatibility, the $flags parameter should be explicitly set."
alpha/apps/kaltura/lib/kManifestRenderers.php,695,47,ERROR,PHPCompatibility.ParameterValues.NewHTMLEntitiesFlagsDefault.NotSet,unverified static candidate,"The default value of the $flags parameter for htmlspecialchars() was changed from ENT_COMPAT to ENT_QUOTES | ENT_SUBSTITUTE | ENT_HTML401 in PHP 8.1. For cross-version compatibility, the $flags parameter should be explicitly set."
alpha/apps/kaltura/lib/kManifestRenderers.php,714,32,ERROR,PHPCompatibility.ParameterValues.NewHTMLEntitiesFlagsDefault.NotSet,unverified static candidate,"The default value of the $flags parameter for htmlspecialchars() was changed from ENT_COMPAT to ENT_QUOTES | ENT_SUBSTITUTE | ENT_HTML401 in PHP 8.1. For cross-version compatibility, the $flags parameter should be explicitly set."
